Fips,Area,GDP,Rank
6000,California,2424033,1
48000,Texas,1648007,2
36000,New York,1444406,3
12000,Florida,883735,4
17000,Illinois,764817,5
42000,Pennsylvania,677582,6
39000,Ohio,592899,7
34000,New Jersey,573947,8
37000,North Carolina,503745,9
13000,Georgia,496180,10
51000,Virginia,476919,11
25000,Massachusetts,473606,12
26000,Michigan,462252,13
53000,Washington,446096,14
24000,Maryland,360969,15
27000,Minnesota,330782,16
18000,Indiana,326538,17
8000,Colorado,316535,18
47000,Tennessee,307125,19
55000,Wisconsin,296971,20
4000,Arizona,295445,21
29000,Missouri,287207,22
9000,Connecticut,259661,23
22000,Louisiana,252965,24
41000,Oregon,225661,25
1000,Alabama,207303,26
45000,South Carolina,196887,27
21000,Kentucky,192874,28
40000,Oklahoma,181089,29
19000,Iowa,168089,30
49000,Utah,146697,31
20000,Kansas,146219,32
32000,Nevada,140608,33
5000,Arkansas,122492,34
11000,District of Columbia,121798,--
31000,Nebraska,112208,35
28000,Mississippi,106880,36
35000,New Mexico,90810,37
15000,Hawaii,79595,38
33000,New Hampshire,71632,39
54000,West Virginia,71123,40
10000,Delaware,66150,41
16000,Idaho,65202,42
44000,Rhode Island,56323,43
23000,Maine,55137,44
2000,Alaska,54256,45
38000,North Dakota,53686,46
30000,Montana,45799,47
46000,South Dakota,45415,48
56000,Wyoming,40170,49
50000,Vermont,29750,50
